1. DEPTH      = 2, WEIGHT_DECAY = 0.1, 
Epoch 097/100 | train 0.9699 | val 1.5339 | test 1.5321
Epoch 098/100 | train 0.9882 | val 1.5363 | test 1.5360
Epoch 099/100 | train 0.9783 | val 1.5355 | test 1.5349
Epoch 100/100 | train 0.9816 | val 1.5348 | test 1.5344


2. DEPTH      = 2, WEIGHT_DECAY = 0.15, 
Epoch 001/100 | train 2.0924 | val 2.0474 | test 2.0315
Epoch 002/100 | train 2.0381 | val 1.9968 | test 1.9964
Epoch 003/100 | train 1.9836 | val 1.9406 | test 1.9100
Epoch 004/100 | train 1.9180 | val 1.8965 | test 1.8577
Epoch 005/100 | train 1.8642 | val 1.8634 | test 1.8294
Epoch 006/100 | train 1.8497 | val 1.8574 | test 1.8237
Epoch 007/100 | train 1.8058 | val 1.8374 | test 1.7973
Epoch 008/100 | train 1.7899 | val 1.7956 | test 1.7764
Epoch 009/100 | train 1.7632 | val 1.8156 | test 1.7846
Epoch 010/100 | train 1.7434 | val 1.7768 | test 1.7614
Epoch 011/100 | train 1.7159 | val 1.8282 | test 1.7810
Epoch 012/100 | train 1.6906 | val 1.7723 | test 1.7631
Epoch 013/100 | train 1.6661 | val 1.7132 | test 1.7312
Epoch 014/100 | train 1.6561 | val 1.7430 | test 1.7667
Epoch 015/100 | train 1.6329 | val 1.7097 | test 1.7273
Epoch 016/100 | train 1.6422 | val 1.7466 | test 1.7476
Epoch 017/100 | train 1.6102 | val 1.7095 | test 1.7141
Epoch 018/100 | train 1.5799 | val 1.7506 | test 1.7281
Epoch 019/100 | train 1.5704 | val 1.6710 | test 1.6588
Epoch 020/100 | train 1.5499 | val 1.6666 | test 1.7039
Epoch 021/100 | train 1.5314 | val 1.6757 | test 1.6829
Epoch 022/100 | train 1.5086 | val 1.6476 | test 1.6784
Epoch 023/100 | train 1.4966 | val 1.6605 | test 1.6740
Epoch 024/100 | train 1.4678 | val 1.6294 | test 1.6592
Epoch 025/100 | train 1.4751 | val 1.6176 | test 1.6518
Epoch 026/100 | train 1.4893 | val 1.6375 | test 1.6496
Epoch 027/100 | train 1.4411 | val 1.7125 | test 1.7099
Epoch 028/100 | train 1.4329 | val 1.6014 | test 1.6402
Epoch 029/100 | train 1.4052 | val 1.5780 | test 1.6063
Epoch 030/100 | train 1.3960 | val 1.6043 | test 1.6231
Epoch 031/100 | train 1.3722 | val 1.5790 | test 1.6145
Epoch 032/100 | train 1.3661 | val 1.5761 | test 1.5875
Epoch 033/100 | train 1.3722 | val 1.5877 | test 1.6155
Epoch 034/100 | train 1.3512 | val 1.5830 | test 1.6476
Epoch 035/100 | train 1.3422 | val 1.5720 | test 1.6146
Epoch 036/100 | train 1.3397 | val 1.5767 | test 1.6034
Epoch 037/100 | train 1.3211 | val 1.5533 | test 1.5942
